uiud,National Provider Identifier (NPI),Provider Full Name,First Name,Last Name,Credentials
,1356808414,Aaron Huth,Aaron,Huth,LCSW
,1932669470,Adam Goldenberg,Adam,Goldenberg,MD
,1306382437,Adam Oberhoffer,Adam,Oberhoffer,LCPC
,1578661781,Adrienne Adams,Adrienne,Adams,MD
,1083069959,Alexandra Kirsch,Alexandra,Kirsch,PhD
,1043520661,Alexandra Elstein,Alexandra,Lee Elstein,PhD
,1215364112,Alexis Lee Silas,Alexis,Silas,PsyD
,1154917201,Alicia Noyes,Alicia,Noyes,LCSW
,1902033715,Alona Ramati,Alona,Ramati,PhD
,1234567891,Amalia Demopolus,Amalia,Demopolus,LCPC
,1679091417,Amber Asbach,Amber,Asbach,PMHNP-BC
,1154721579,Amy Medlin,Amy,Medlin,LCPC
,1558620245,Amy Noel,Amy,Noel,MD
,1124393129,Andrea Busby,Andrea,Busby,PhD
,1679812515,Andrea Fisher,Andrea,Fisher,"LSCW,LCPC"
,1033842919,Angela Dea,Angela,Dea,LCSW
,1366804247,Angela Labedz,Angela,Labedz,LCSW
,1174212088,Angela Quiroz,Angela,Quiroz,PMHNP-BC
,1407343304,Angela Sakanis,Angela,Sakanis,LCPC
,1841795457,Ankita Sharma,Ankita,Sharma,MD
,1487130464,Anna Quistad,Anna,Quistad,PhD
,1326306937,Anu Mathur,Anu,Mathur,MD
,1285003699,Ashley Gonsler,Ashley,Gonsler,LCSW
,1922795418,Ashley Porter,Ashley,Porter,LSCW
,1225491848,Ashley Rolnik,Ashley,Rolnik,PhD
,1881256154,Audra Stolz Masterton,Audra,Stolz Masterton,LCSW
,1083633804,Benjamin Shain,Benjamin,Shain,"MD,PhD"
,1831816966,Beth Gomez,Beth,Gomez,LCSW
,1558676221,Boseung Halliwell,Boseung,Halliwell,APN
,1477781649,Brad Cutler,Brad,Cut,MD
,1922392216,Brandy Crandall,Brandy,Crandall,PhD
,1568192425,Brittany Bisaillon,Brittany,Bisaillon,LCSW
,1679857486,Brooke Zitny,Brooke,Zitny,LCSW
,1871963181,Bryan Rebhan,Bryan,Rebhan,LCPC
,1790546364,Bryce Dunlap,Bryce,Dunlap,PA-C
,1003503699,Byeol Shim,Byeol,Shim,LCPC
,1508108036,Carol Crews,Carol,Crews,LCSW
,1699752204,Catherine Camilleri,Catherine,Camilleri,MD
,1023438066,Cecilia Kasem,Cecilia,Kasem,LCPC
,1194285213,Ceres Kangou,Ceres,Kangou,PMHNP-BC
,1679023527,Christina Wong,Christina,Wong,LCSW
,1548565880,Christine Dahl,Christine,Dahl,PMHNP-BC
,1003505967,Christopher Williams,Christopher,Williams,PhD
,1043365265,Claire Brunegraff,Claire,Brunegraff,PhD
,1821871203,Colleen McGinn,Colleen,McGinn,PMHNP-BC
,1831703131,Colleen Mertens,Colleen,Mertens,"LCPC,CADC"
,1366819526,Colleen Pasciak,Colleen,Pasciak,LCSW
,1023781887,Connor Strawn,Connor,Strawn,LCPC
,1841722352,Constance Manske,Constance,Manske,LCPC
,1841784139,Courtney Alvarez,Courtney,Alvarez,PMHNP-BC
,1083608343,Cynthia Levin,Cynthia,Levin,PsyD
