uiud,National Provider Identifier (NPI),Provider Full Name,First Name,Last Name,Credentials
4da9c465-fc67-46d4-ab0d-bc1b2dc41479,1356808414,Aaron Huth,Aaron,Huth,LCSW
a9523d26-c633-4fa4-97dc-4e6bea43436a,1932669470,Adam Goldenberg,Adam,Goldenberg,MD
4a0b3786-ebc6-48e4-8a10-0a2dd91e5816,1306382437,Adam Oberhoffer,Adam,Oberhoffer,LCPC
604689d5-6124-45df-ba01-73c2682decc1,1578661781,Adrienne Adams,Adrienne,Adams,MD
7512d766-783e-489e-a697-f6780a53ca96,1083069959,Alexandra Kirsch,Alexandra,Kirsch,PhD
2fe177c4-d695-4839-8693-53953c8e02c5,1043520661,Alexandra Elstein,Alexandra,Lee Elstein,PhD
2e8a4954-9595-4a87-9b56-be5399149de2,1215364112,Alexis Lee Silas,Alexis,Silas,PsyD
f4b42174-c66d-4863-a856-3c2e282060fd,1154917201,Alicia Noyes,Alicia,Noyes,LCSW
c8dda3d1-27f7-4d04-9fd0-dc67fc13774c,1902033715,Alona Ramati,Alona,Ramati,PhD
dd55cac0-101c-4b80-a395-aeeedb9712da,1234567891,Amalia Demopolus,Amalia,Demopolus,LCPC
62fa6cb3-d9ea-433c-9182-0c04608e8ca2,1679091417,Amber Asbach,Amber,Asbach,PMHNP-BC
bd8c7272-0a8b-4bf0-a6ec-452d89da423b,1154721579,Amy Medlin,Amy,Medlin,LCPC
283b3825-7e3e-43a3-91f7-d1d61d585d72,1558620245,Amy Noel,Amy,Noel,MD
da4fc403-6b20-47a7-a6be-e91dc427e35c,1124393129,Andrea Busby,Andrea,Busby,PhD
40ebf6fa-93c6-4592-9446-3bed1991f93a,1679812515,Andrea Fisher,Andrea,Fisher,"LSCW,LCPC"
0d5e2378-7fb1-4c01-b906-cad2c37bef7e,1033842919,Angela Dea,Angela,Dea,LCSW
993cac7c-10e8-4b24-89af-b3fd365b2770,1366804247,Angela Labedz,Angela,Labedz,LCSW
1cc9d006-7dc6-4c8a-b115-896b74d1f4a1,1174212088,Angela Quiroz,Angela,Quiroz,PMHNP-BC
ad7e2a6c-bb74-46af-8257-12d3b19fd301,1407343304,Angela Sakanis,Angela,Sakanis,LCPC
779dc0df-6265-49a9-a258-e95d6123bf75,1841795457,Ankita Sharma,Ankita,Sharma,MD
ab19416c-d603-42a5-83df-a9dcbd57ae46,1487130464,Anna Quistad,Anna,Quistad,PhD
e5342936-f38a-407a-b509-9b5f693ef332,1326306937,Anu Mathur,Anu,Mathur,MD
807a4f1a-c449-4687-8731-c9f956667a0d,1285003699,Ashley Gonsler,Ashley,Gonsler,LCSW
63fffe21-e8f0-4a81-bddc-2eb29b6daf3a,1922795418,Ashley Porter,Ashley,Porter,LSCW
f5cce119-9dd0-42eb-993f-13e4eb34f687,1225491848,Ashley Rolnik,Ashley,Rolnik,PhD
75abeca5-3273-4e20-a894-75a8cd0cd2a5,1881256154,Audra Stolz Masterton,Audra,Stolz Masterton,LCSW
214ef76a-13d9-46af-8a6d-5174bd43da67,1083633804,Benjamin Shain,Benjamin,Shain,"MD,PhD"
d3fe3436-524e-4b15-9a78-bc081aba3e98,1831816966,Beth Gomez,Beth,Gomez,LCSW
ec46edad-ce99-45cb-9aaa-a3e4a572921d,1558676221,Boseung Halliwell,Boseung,Halliwell,APN
eb13ed07-f5b5-463c-9923-c622ff3e6708,1477781649,Brad Cutler,Brad,Cut,MD
8e1e7ea1-5c10-4a90-92de-02c5d01da4fc,1922392216,Brandy Crandall,Brandy,Crandall,PhD
10a1b1d8-d00f-441f-9bfd-fd89cddd29a8,1568192425,Brittany Bisaillon,Brittany,Bisaillon,LCSW
17ef248b-1f63-4e41-8225-e8c0fa9d7149,1679857486,Brooke Zitny,Brooke,Zitny,LCSW
9f207c96-ac61-4c15-bc31-ac4443a14af7,1871963181,Bryan Rebhan,Bryan,Rebhan,LCPC
0b63a968-d516-4ea7-8075-1b06edd2347f,1790546364,Bryce Dunlap,Bryce,Dunlap,PA-C
31312a17-0264-43df-ad79-ccebcce8f21f,1003503699,Byeol Shim,Byeol,Shim,LCPC
fa7603e9-4136-425b-a722-e6c2729458a4,1508108036,Carol Crews,Carol,Crews,LCSW
86c6bda9-e078-4aa7-a18d-c8eee07b9cdd,1699752204,Catherine Camilleri,Catherine,Camilleri,MD
c7aa269c-39fd-44a0-845c-234a54a7b6fe,1023438066,Cecilia Kasem,Cecilia,Kasem,LCPC
4ef3550f-e79b-41a2-bfe9-0b74e66f5515,1194285213,Ceres Kangou,Ceres,Kangou,PMHNP-BC
7f438663-b5bf-4e38-b0b3-6f756cb216fb,1679023527,Christina Wong,Christina,Wong,LCSW
58325890-616f-47d4-860f-12fa729c910d,1548565880,Christine Dahl,Christine,Dahl,PMHNP-BC
16ccb00f-b2e5-42c5-a607-a231fcffc515,1003505967,Christopher Williams,Christopher,Williams,PhD
7f50f523-ab68-46b3-9c6c-ed5dd3d89974,1043365265,Claire Brunegraff,Claire,Brunegraff,PhD
33679d45-6ee7-4e35-b6eb-ce2baff0e4d0,1821871203,Colleen McGinn,Colleen,McGinn,PMHNP-BC
00fcc680-38db-40d5-aa65-7030a65466bc,1831703131,Colleen Mertens,Colleen,Mertens,"LCPC,CADC"
6ad86506-49f0-4be1-a8db-caa3b05c334d,1366819526,Colleen Pasciak,Colleen,Pasciak,LCSW
88f7ff3b-08b8-439f-b8f8-c0214f034946,1023781887,Connor Strawn,Connor,Strawn,LCPC
5163e0a8-207c-43cd-8a97-6f7049dd9497,1841722352,Constance Manske,Constance,Manske,LCPC
0c37153f-1314-42ae-92a7-7df4df1508fa,1841784139,Courtney Alvarez,Courtney,Alvarez,PMHNP-BC
1d9faf3a-70be-4243-ba28-366ecdc6c0a3,1083608343,Cynthia Levin,Cynthia,Levin,PsyD
e2e9779e-b19f-4bfb-8843-36d94ca2421c,1215957568,Daniel Giacomo,Daniel,Giacomo,MD
155b5298-88a7-442b-9be0-dc6bbc036eaa,1053762807,Daniel Pappas,Daniel,Pappas,MD
269f6ebc-978f-4f0a-8618-d4c7c05d9c1b,1942758776,Danielle Degrado,Danielle,Degrado,PMHNP-BC
07dadfcf-5eb5-4257-883b-ffdb100a856d,1871941427,David Moy,David,Moy,MD
a656ca49-701f-4b63-935b-7ea00688d958,1033797493,Donell Bluford,Donell,Bluford,LCSW
e6114edf-076c-4981-aac5-e08af3c4649e,1841699220,Dylan Panuska,Dylan,Panuska,PsyD
